KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
16384,1,128,64,9,2,0,9,10,0,5,4096,800,4.2792680124294862027025776762101768329999952635057920871022215364803642471738506e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,810,4.0818630392865281702489087805809306551894743449214593095938336120980996409334834e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,820,3.8987256375290746345856458552287017923579899226853513392830060743098029925115631e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,830,3.7044526741055510408465996163744597090310753169806472858163791952001650898850576e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,840,3.5244396639267017847469909133045889328422187221153785648237452867402934689235425e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,850,3.3503461664787879124804618230925440402291912276963446656478538027925596112614659e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,860,3.1826267396376901750488585417630272912139246100939111655643483636787130994922330e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,870,3.0206661873864305551699897213378572165646481421424104534618683842713972992164371e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,880,2.8641313618587705280370361620561808881617179572426925399280199637521600280280944e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,890,2.7134863088012934767964221719934446868171928721731562054245044108550160452526957e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,900,2.5685848203526351781613405084582134045743537522219206813389808455502884652318962e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,910,2.4253121837775716598822136650907393508188533324184394289474765470190999766414033e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,920,2.2959214263418088739897757253894827536560796283595465587385317263041878126136469e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,930,2.1677338623983544299403433346289173723165787101632110403804387587060950121004858e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,940,2.0449859120275872928151330053600949522389446123428228883510969630920299537818236e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,950,1.9283096350195089659307416238769091946454748950017937023492972639923425901795156e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,960,1.8168248366764277070552964802518155776482776058045807508054136867151305764383972e-30
